Error message,Error Package,File
invalid shell,cmd/internal/commands:invalid_shell,complete.go
could not initialize Application Server,cmd/internal/shared:initialize_application_server,errors.go
could not initialize base component,cmd/internal/shared:initialize_base_component,errors.go
could not initialize Console,cmd/internal/shared:initialize_console,errors.go
could not initialize Device Repository,cmd/internal/shared:initialize_device_repository,errors.go
could not initialize Device Template Converter,cmd/internal/shared:initialize_device_template_converter,errors.go
could not initialize Gateway Configuration Server,cmd/internal/shared:initialize_gateway_configuration_server,errors.go
could not initialize Gateway Server,cmd/internal/shared:initialize_gateway_server,errors.go
could not initialize Identity Server,cmd/internal/shared:initialize_identity_server,errors.go
could not initialize Join Server,cmd/internal/shared:initialize_join_server,errors.go
could not initialize Network Server,cmd/internal/shared:initialize_network_server,errors.go
could not initialize Packet Broker Agent,cmd/internal/shared:initialize_packet_broker_agent,errors.go
could not initialize QR Code Generator,cmd/internal/shared:initialize_qr_code_generator,errors.go
invalid activation mode,cmd/ttn-lw-cli/commands:activation_mode,end_devices.go
index of antenna to update out of bounds,cmd/ttn-lw-cli/commands:antenna_index,gateways.go
Application Server is disabled,cmd/ttn-lw-cli/commands:application_server_disabled,simulate.go
conflicting set and unset field mask paths,cmd/ttn-lw-cli/commands:conflicting_paths,end_devices.go
contact info already exists,cmd/ttn-lw-cli/commands:contact_info_exists,contact_info.go
matching contact info not found,cmd/ttn-lw-cli/commands:contact_info_not_found,contact_info.go
Data rate index is invalid,cmd/ttn-lw-cli/commands:data_rate_index,end_devices.go
end device EUIs can not be updated,cmd/ttn-lw-cli/commands:end_device_eui_update,end_devices.go
end device ABP or OTAA keys cannot be set when there is a provisioner,cmd/ttn-lw-cli/commands:end_device_keys_provisioner,end_devices.go
Network/Application/Join Server address mismatch,cmd/ttn-lw-cli/commands:end_device_server_address_mismatch,end_devices.go
failed to write `{file}`,cmd/ttn-lw-cli/commands:fail_write,use.go
`{file}` exists,cmd/ttn-lw-cli/commands:file_exists,use.go
gateway server address mismatch,cmd/ttn-lw-cli/commands:gateway_server_address_mismatch,gateways.go
given end device EUIs do not match registered EUIs,cmd/ttn-lw-cli/commands:inconsistent_end_device_eui,end_devices.go
Join Server is disabled,cmd/ttn-lw-cli/commands:join_server_disabled,end_devices.go
LoRaWAN MAC version is invalid,cmd/ttn-lw-cli/commands:mac_version,end_devices.go
end device mapping not found,cmd/ttn-lw-cli/commands:mapped_end_device_not_found,end_device_templates.go
Network Server is disabled,cmd/ttn-lw-cli/commands:network_server_disabled,end_devices.go
no API key ID set,cmd/ttn-lw-cli/commands:no_api_key_id,flags.go
no API key rights set,cmd/ttn-lw-cli/commands:no_api_key_rights,flags.go
no application ID set,cmd/ttn-lw-cli/commands:no_application_id,applications.go
no client ID set,cmd/ttn-lw-cli/commands:no_client_id,clients.go
no collaborator set,cmd/ttn-lw-cli/commands:no_collaborator,flags.go
no collaborator rights set,cmd/ttn-lw-cli/commands:no_collaborator_rights,flags.go
action not confirmed,cmd/ttn-lw-cli/commands:no_confirmation,applications.go
no data for `{name}`,cmd/ttn-lw-cli/commands:no_data,flags.go
no email set,cmd/ttn-lw-cli/commands:no_email,users_invitations.go
no end device EUIs set,cmd/ttn-lw-cli/commands:no_end_device_eui,end_devices.go
no end device ID set,cmd/ttn-lw-cli/commands:no_end_device_id,end_devices.go
no end device template JoinEUI set,cmd/ttn-lw-cli/commands:no_end_device_template_join_eui,end_device_templates.go
no end device template start DevEUI set,cmd/ttn-lw-cli/commands:no_end_device_template_start_dev_eui,end_device_templates.go
no FPort set,cmd/ttn-lw-cli/commands:no_f_port,applications_packages.go
no gateway ID set,cmd/ttn-lw-cli/commands:no_gateway_id,gateways.go
no host set,cmd/ttn-lw-cli/commands:no_host,use.go
no IDs set,cmd/ttn-lw-cli/commands:no_ids,flags.go
no organization ID set,cmd/ttn-lw-cli/commands:no_organization_id,organizations.go
no pub/sub ID set,cmd/ttn-lw-cli/commands:no_pub_sub_id,applications_pubsub.go
no QR code target specified,cmd/ttn-lw-cli/commands:no_qr_code_target,end_devices.go
no template format ID set,cmd/ttn-lw-cli/commands:no_template_format_id,end_device_templates.go
